City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,53,84.25,0.65,10.73,6.25,10.13,0.1,11,134.75,33.6,1012.6,35.7,22.3951
Ahmedabad,44.25,74,1.08,12.45,7.52,11.92,0.1,8.28,136.7,33.4,1012.8,35.8,26.5006
Ahmedabad,44.75,71.5,0.78,12.4,7.25,11.58,0.1,8.28,141.13,31.1,1012.66,35.8,23.2162
Ahmedabad,45,82,1.1,12.53,7.53,11.13,0.1,9.1,140.63,27.1,1012.32,35.8,25.4219
Ahmedabad,48,83,0.57,12.38,7.05,10.23,0.1,7.7,129.38,29.7,1012.33,35.9,28.1267
Ahmedabad,51.25,91.5,1.12,15.18,8.95,9.62,0.1,6.8,111.73,30.5,1012.55,35.9,19.2878
Ahmedabad,64.25,112.5,1.5,20.23,11.97,11.27,0.1,8.05,104.38,28.6,1012.71,35.7,20.447
Ahmedabad,75.25,125.25,0.2,21.15,11.4,12.2,0.08,8.9,109.75,33.7,1013.01,35.4,27.8691
Ahmedabad,77,117.5,0.63,16.3,9.17,14.92,0.2,6.85,108.28,31.9,1013.23,35.3,6.7459
Ahmedabad,71,101.25,0.75,12.2,7.1,13.8,0.13,7.25,116.62,29.9,1013.31,35.4,14.9086
Ahmedabad,75,107,0.45,20.12,11.08,14.75,0.1,8.12,90.67,29.8,1013.4,35.5,25.0355
Ahmedabad,89,125.5,0.65,24.53,13.58,15.35,0.27,8.5,80.35,30.4,1013.27,35.5,19.8352
Ahmedabad,90.5,125.75,0.53,22.1,12.2,18.62,0.08,4.8,87.7,31.1,1013.02,35.6,28.0945
Ahmedabad,88,113,0.62,28.65,15.75,25.05,0.03,1.18,91.62,32.9,1013.03,35.8,27.9818
Ahmedabad,84.5,104.5,0.42,40.9,22.07,24.6,0.08,,69.07,35,1012.55,35.7,30.8637
Ahmedabad,84,107.75,1.68,43.07,24.25,23.12,0.18,0.05,69.1,37.7,1012.03,35.6,32.1678
Ahmedabad,89,119.5,1.52,55.02,30.5,22.42,0.55,0.08,75.95,36,1011.81,35.5,26.5328
